SECURITY_CODE,SECUCODE,SECURITY_NAME_ABBR,TRADE_DATE,CHANGE_RATE,TRADE_MARKET_CODE,SECURITY_TYPE_CODE,EXPLAIN
000004,000004.SZ,*ST国华,2026-02-13 00:00:00,5.0251,069001002005,058001001,广东资金买入，成功率30.42%
000021,000021.SZ,深科技,2026-02-13 00:00:00,10.017,069001002001,058001001,1家机构买入，成功率30.94%
000070,000070.SZ,特发信息,2026-02-13 00:00:00,-10,069001002001,058001001,1家机构卖出，成功率42.98%
000711,000711.SZ,ST京蓝,2026-02-13 00:00:00,5.0167,069001002005,058001001,西藏自治区资金买入，成功率22.02%
000833,000833.SZ,粤桂股份,2026-02-13 00:00:00,6.8566,069001002001,058001001,3家机构买入，成功率31.96%
000859,000859.SZ,国风新材,2026-02-13 00:00:00,10.0184,069001002001,058001001,普通席位买入，成功率49.78%
000892,000892.SZ,欢瑞世纪,2026-02-13 00:00:00,-9.9441,069001002001,058001001,主力做T，成功率26.18%
000892,000892.SZ,欢瑞世纪,2026-02-13 00:00:00,-9.9441,069001002001,058001001,主力做T，成功率26.18%
001330,001330.SZ,博纳影业,2026-02-13 00:00:00,5.8872,069001002001,058001001,西藏自治区资金买入，成功率26.53%
001330,001330.SZ,博纳影业,2026-02-13 00:00:00,5.8872,069001002001,058001001,西藏自治区资金买入，成功率26.53%
002009,002009.SZ,天奇股份,2026-02-13 00:00:00,10,069001002001,058001001,普通席位买入，成功率36.66%
002009,002009.SZ,天奇股份,2026-02-13 00:00:00,10,069001002001,058001001,普通席位买入，成功率36.66%
002323,002323.SZ,雅博股份,2026-02-13 00:00:00,-9.9237,069001002001,058001001,1家机构卖出，成功率31.71%
002342,002342.SZ,巨力索具,2026-02-13 00:00:00,-9.9708,069001002001,058001001,2家机构卖出，成功率23.69%
002455,002455.SZ,百川股份,2026-02-13 00:00:00,-1.773,069001002001,058001001,4家机构卖出，成功率34.09%
002467,002467.SZ,二六三,2026-02-13 00:00:00,5.3147,069001002001,058001001,1家机构买入，成功率32.00%
002491,002491.SZ,通鼎互联,2026-02-13 00:00:00,-10.0097,069001002001,058001001,1家机构卖出，成功率14.67%
002498,002498.SZ,汉缆股份,2026-02-13 00:00:00,10.0813,069001002001,058001001,普通席位买入，成功率61.24%
002498,002498.SZ,汉缆股份,2026-02-13 00:00:00,10.0813,069001002001,058001001,1家机构买入，成功率56.44%
002519,002519.SZ,银河电子,2026-02-13 00:00:00,4.2965,069001002001,058001001,主力做T，成功率50.16%
002703,002703.SZ,浙江世宝,2026-02-13 00:00:00,10.024,069001002001,058001001,主力做T，成功率46.41%
002713,002713.SZ,*ST东易,2026-02-13 00:00:00,4.9713,069001002005,058001001,1家机构买入，成功率47.26%
002957,002957.SZ,科瑞技术,2026-02-13 00:00:00,-10,069001002001,058001001,3家机构卖出，成功率17.37%
002969,002969.SZ,嘉美包装,2026-02-13 00:00:00,-10.003,069001002001,058001001,主力做T，成功率25.49%
300182,300182.SZ,捷成股份,2026-02-13 00:00:00,-10.6145,069001002002,058001001,1家机构卖出，成功率14.72%
300251,300251.SZ,光线传媒,2026-02-13 00:00:00,15.3879,069001002002,058001001,2家机构买入，成功率42.49%
300344,300344.SZ,*ST立方,2026-02-13 00:00:00,-20.0855,069001002005,058001001,西藏自治区资金卖出，成功率27.15%
300344,300344.SZ,*ST立方,2026-02-13 00:00:00,-20.0855,069001002005,058001001,西藏自治区资金卖出，成功率13.63%
300449,300449.SZ,汉邦高科,2026-02-13 00:00:00,20,069001002002,058001001,买一主买，成功率44.71%
300589,300589.SZ,江龙船艇,2026-02-13 00:00:00,8.1704,069001002002,058001001,3家机构买入，成功率28.43%
300719,300719.SZ,安达维尔,2026-02-13 00:00:00,19.9885,069001002002,058001001,3家机构买入，成功率38.96%
300812,300812.SZ,易天股份,2026-02-13 00:00:00,20,069001002002,058001001,2家机构买入，成功率48.23%
300812,300812.SZ,易天股份,2026-02-13 00:00:00,20,069001002002,058001001,3家机构买入，成功率30.94%
300812,300812.SZ,易天股份,2026-02-13 00:00:00,20,069001002002,058001001,2家机构买入，成功率48.23%
300846,300846.SZ,首都在线,2026-02-13 00:00:00,3.673,069001002002,058001001,2家机构买入，成功率31.77%
301231,301231.SZ,荣信文化,2026-02-13 00:00:00,-7.8605,069001002002,058001001,3家机构卖出，成功率13.78%
