SECURITY_CODE,SECUCODE,SECURITY_NAME_ABBR,TRADE_DATE,CHANGE_RATE,TRADE_MARKET_CODE,SECURITY_TYPE_CODE,EXPLAIN
000056,000056.SZ,皇庭国际,2026-02-11 00:00:00,-9.9585,069001002001,058001001,上海资金卖出，成功率24.03%
000070,000070.SZ,特发信息,2026-02-11 00:00:00,9.9876,069001002001,058001001,普通席位买入，成功率42.96%
000638,000638.SZ,*ST万方,2026-02-11 00:00:00,5.2632,069001002005,058001001,西藏自治区资金买入，成功率12.79%
000657,000657.SZ,中钨高新,2026-02-11 00:00:00,9.9979,069001002001,058001001,1家机构买入，成功率32.74%
000892,000892.SZ,欢瑞世纪,2026-02-11 00:00:00,10.0334,069001002001,058001001,1家机构买入，成功率35.24%
000892,000892.SZ,欢瑞世纪,2026-02-11 00:00:00,10.0334,069001002001,058001001,1家机构买入，成功率35.24%
000892,000892.SZ,欢瑞世纪,2026-02-11 00:00:00,10.0334,069001002001,058001001,1家机构买入，成功率33.75%
001217,001217.SZ,华尔泰,2026-02-11 00:00:00,9.9736,069001002001,058001001,4家机构买入，成功率45.01%
001267,001267.SZ,汇绿生态,2026-02-11 00:00:00,10,069001002001,058001001,1家机构买入，成功率42.37%
001330,001330.SZ,博纳影业,2026-02-11 00:00:00,7.4579,069001002001,058001001,主力做T，成功率27.83%
002181,002181.SZ,粤传媒,2026-02-11 00:00:00,-9.9017,069001002001,058001001,主力做T，成功率21.75%
002340,002340.SZ,格林美,2026-02-11 00:00:00,9.9537,069001002001,058001001,1家机构买入，成功率50.45%
002342,002342.SZ,巨力索具,2026-02-11 00:00:00,-3.64,069001002001,058001001,2家机构卖出，成功率33.46%
002342,002342.SZ,巨力索具,2026-02-11 00:00:00,-3.64,069001002001,058001001,2家机构卖出，成功率33.46%
002378,002378.SZ,章源钨业,2026-02-11 00:00:00,9.9881,069001002001,058001001,2家机构买入，成功率43.78%
002485,002485.SZ,ST雪发,2026-02-11 00:00:00,4.9896,069001002005,058001001,1家机构买入，成功率48.39%
002506,002506.SZ,协鑫集成,2026-02-11 00:00:00,0,069001002001,058001001,3家机构买入，成功率14.13%
002723,002723.SZ,小崧股份,2026-02-11 00:00:00,10.0379,069001002001,058001001,1家机构买入，成功率20.53%
002723,002723.SZ,小崧股份,2026-02-11 00:00:00,10.0379,069001002001,058001001,1家机构买入，成功率20.53%
002723,002723.SZ,小崧股份,2026-02-11 00:00:00,10.0379,069001002001,058001001,1家机构买入，成功率18.79%
002739,002739.SZ,万达电影,2026-02-11 00:00:00,-10.0216,069001002001,058001001,1家机构卖出，成功率4.28%
002830,002830.SZ,名雕股份,2026-02-11 00:00:00,-10,069001002001,058001001,主力做T，成功率36.06%
002905,002905.SZ,金逸影视,2026-02-11 00:00:00,-9.9734,069001002001,058001001,1家机构卖出，成功率34.12%
002995,002995.SZ,天地在线,2026-02-11 00:00:00,-9.4771,069001002001,058001001,3家机构卖出，成功率33.49%
003018,003018.SZ,金富科技,2026-02-11 00:00:00,10,069001002001,058001001,2家机构买入，成功率44.46%
300065,300065.SZ,海兰信,2026-02-11 00:00:00,3.0512,069001002002,058001001,2家机构买入，成功率27.95%
300166,300166.SZ,东方国信,2026-02-11 00:00:00,8.3398,069001002002,058001001,3家机构买入，成功率45.16%
300182,300182.SZ,捷成股份,2026-02-11 00:00:00,4.7337,069001002002,058001001,2家机构买入，成功率39.31%
300196,300196.SZ,长海股份,2026-02-11 00:00:00,15.7745,069001002002,058001001,主力做T，成功率31.31%
300344,300344.SZ,*ST立方,2026-02-11 00:00:00,5.036,069001002005,058001001,西藏自治区资金买入，成功率32.40%
300364,300364.SZ,中文在线,2026-02-11 00:00:00,-5.9991,069001002002,058001001,1家机构卖出，成功率43.84%
300819,300819.SZ,聚杰微纤,2026-02-11 00:00:00,20,069001002002,058001001,1家机构买入，成功率46.63%
300912,300912.SZ,凯龙高科,2026-02-11 00:00:00,-14.186,069001002002,058001001,1家机构卖出，成功率28.64%
301025,301025.SZ,读客文化,2026-02-11 00:00:00,10.1439,069001002002,058001001,4家机构买入，成功率38.66%
301231,301231.SZ,荣信文化,2026-02-11 00:00:00,-1.1442,069001002002,058001001,4家机构卖出，成功率27.98%
301526,301526.SZ,国际复材,2026-02-11 00:00:00,20.0407,069001002002,058001001,普通席位买入，成功率48.50%
600292,600292.SH,电投水电,2026-02-11 00:00:00,10.0142,069001001001,058001001,买一主买，成功率45.58%
600355,600355.SH,*ST精伦,2026-02-11 00:00:00,5.3435,069001001003,058001001,西藏自治区资金买入，成功率28.49%
600589,600589.SH,大位科技,2026-02-11 00:00:00,10.0437,069001001001,058001001,普通席位买入，成功率49.70%
600969,600969.SH,郴电国际,2026-02-11 00:00:00,-9.9907,069001001001,058001001,广东资金卖出，成功率46.06%
600969,600969.SH,郴电国际,2026-02-11 00:00:00,-9.9907,069001001001,058001001,普通席位卖出，成功率46.00%
