trade_date,market_group,security_code,security_name,change_rate,trade_market_code,security_type_code,detail_link,quote_link
2026-02-11,HS,600292,电投水电,10.0142,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,600292.html",https://quote.eastmoney.com/unify/r/1.600292
2026-02-11,HS,600355,*ST精伦,5.3435,069001001003,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,600355.html",https://quote.eastmoney.com/unify/r/1.600355
2026-02-11,HS,600589,大位科技,10.0437,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,600589.html",https://quote.eastmoney.com/unify/r/1.600589
2026-02-11,HS,600969,郴电国际,-9.9907,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,600969.html",https://quote.eastmoney.com/unify/r/1.600969
2026-02-11,HS,600977,中国电影,-9.5468,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,600977.html",https://quote.eastmoney.com/unify/r/1.600977
2026-02-11,HS,601112,振石股份,5.9096,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,601112.html",https://quote.eastmoney.com/unify/r/1.601112
2026-02-11,HS,601595,上海电影,-9.3348,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,601595.html",https://quote.eastmoney.com/unify/r/1.601595
2026-02-11,HS,601599,浙文影业,-9.9291,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,601599.html",https://quote.eastmoney.com/unify/r/1.601599
2026-02-11,HS,603103,横店影视,-9.9975,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,603103.html",https://quote.eastmoney.com/unify/r/1.603103
2026-02-11,HS,603150,万朗磁塑,6.8339,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,603150.html",https://quote.eastmoney.com/unify/r/1.603150
2026-02-11,HS,603172,万丰股份,-0.0776,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,603172.html",https://quote.eastmoney.com/unify/r/1.603172
2026-02-11,HS,603256,宏和科技,10.0083,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,603256.html",https://quote.eastmoney.com/unify/r/1.603256
2026-02-11,HS,603466,风语筑,2.9197,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,603466.html",https://quote.eastmoney.com/unify/r/1.603466
2026-02-11,HS,603533,掌阅科技,10.0142,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,603533.html",https://quote.eastmoney.com/unify/r/1.603533
2026-02-11,HS,603598,引力传媒,-6.4217,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,603598.html",https://quote.eastmoney.com/unify/r/1.603598
2026-02-11,HS,603608,天创时尚,10.0478,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,603608.html",https://quote.eastmoney.com/unify/r/1.603608
2026-02-11,HS,603729,龙韵股份,10,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,603729.html",https://quote.eastmoney.com/unify/r/1.603729
2026-02-11,HS,603888,新华网,-9.7686,069001001001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-11,603888.html",https://quote.eastmoney.com/unify/r/1.603888
